Site,Parameter,Date LT,Year,Month,Day,Hour,NowCast Conc,AQI,AQI_Category,Raw Conc,Conc Unit,Duration,QC Name
Ulaanbaatar,PM2.5 - Principal,01JAN18:03:00:00,2018,1,1,3,493.6,496,Hazardous,484,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01JAN18:04:00:00,2018,1,1,4,470.9,481,Hazardous,451,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01JAN18:05:00:00,2018,1,1,5,467.4,478,Hazardous,464,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01JAN18:06:00:00,2018,1,1,6,467.4,478,Hazardous,0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,01JAN18:07:00:00,2018,1,1,7,473.8,482,Hazardous,469,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01JAN18:08:00:00,2018,1,1,8,454.3,470,Hazardous,414,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01JAN18:09:00:00,2018,1,1,9,331.8,382,Hazardous,240,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01JAN18:10:00:00,2018,1,1,10,208.9,259,Very Unhealthy,94,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01JAN18:11:00:00,2018,1,1,11,175.9,226,Very Unhealthy,144,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01JAN18:12:00:00,2018,1,1,12,163.3,214,Very Unhealthy,151,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01JAN18:13:00:00,2018,1,1,13,165.1,215,Very Unhealthy,167,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01JAN18:14:00:00,2018,1,1,14,158.0,208,Very Unhealthy,151,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01JAN18:15:00:00,2018,1,1,15,129.4,189,Unhealthy,101,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01JAN18:16:00:00,2018,1,1,16,151.6,202,Very Unhealthy,174,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01JAN18:17:00:00,2018,1,1,17,143.3,196,Unhealthy,135,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01JAN18:18:00:00,2018,1,1,18,105.6,177,Unhealthy,68,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01JAN18:19:00:00,2018,1,1,19,81.7,165,Unhealthy,58,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01JAN18:20:00:00,2018,1,1,20,83.8,166,Unhealthy,86,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01JAN18:21:00:00,2018,1,1,21,135.9,193,Unhealthy,188,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01JAN18:22:00:00,2018,1,1,22,143.4,196,Unhealthy,151,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01JAN18:23:00:00,2018,1,1,23,95.7,172,Unhealthy,48,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:00:00:00,2018,1,2,0,272.8,323,Hazardous,450,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:01:00:00,2018,1,2,1,360.9,408,Hazardous,449,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:02:00:00,2018,1,2,2,217.4,267,Very Unhealthy,74,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:03:00:00,2018,1,2,3,137.2,193,Unhealthy,57,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:04:00:00,2018,1,2,4,100.6,174,Unhealthy,64,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:05:00:00,2018,1,2,5,78.7,163,Unhealthy,57,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:06:00:00,2018,1,2,6,75.3,161,Unhealthy,72,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:07:00:00,2018,1,2,7,61.1,154,Unhealthy,47,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:08:00:00,2018,1,2,8,63.0,155,Unhealthy,65,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:09:00:00,2018,1,2,9,119.5,184,Unhealthy,176,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:10:00:00,2018,1,2,10,231.7,281,Very Unhealthy,344,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:11:00:00,2018,1,2,11,278.4,329,Hazardous,325,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:12:00:00,2018,1,2,12,278.3,329,Hazardous,0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,01FEB18:15:00:00,2018,1,2,15,49.6,136,Unhealthy for Sensitive Group,26,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:16:00:00,2018,1,2,16,34.9,99,Moderate,23,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:17:00:00,2018,1,2,17,29.7,88,Moderate,25,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:18:00:00,2018,1,2,18,26.2,81,Moderate,23,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:19:00:00,2018,1,2,19,34.2,97,Moderate,42,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:20:00:00,2018,1,2,20,44.1,122,Unhealthy for Sensitive Group,54,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:21:00:00,2018,1,2,21,77.6,162,Unhealthy,111,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:22:00:00,2018,1,2,22,70.2,159,Unhealthy,63,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01FEB18:23:00:00,2018,1,2,23,77.1,162,Unhealthy,84,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01MAR18:00:00:00,2018,1,3,0,68.0,157,Unhealthy,59,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01MAR18:01:00:00,2018,1,3,1,148.5,199,Unhealthy,229,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01MAR18:02:00:00,2018,1,3,2,171.7,222,Very Unhealthy,195,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01MAR18:03:00:00,2018,1,3,3,124.4,187,Unhealthy,77,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01MAR18:04:00:00,2018,1,3,4,121.2,185,Unhealthy,118,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01MAR18:05:00:00,2018,1,3,5,147.6,199,Unhealthy,174,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01MAR18:06:00:00,2018,1,3,6,196.3,246,Very Unhealthy,245,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01MAR18:07:00:00,2018,1,3,7,190.1,240,Very Unhealthy,184,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01MAR18:08:00:00,2018,1,3,8,196.6,247,Very Unhealthy,203,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01MAR18:09:00:00,2018,1,3,9,304.3,354,Hazardous,412,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01MAR18:10:00:00,2018,1,3,10,304.4,354,Hazardous,0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,01MAR18:11:00:00,2018,1,3,11,200.8,251,Very Unhealthy,149,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01MAR18:12:00:00,2018,1,3,12,156.3,207,Very Unhealthy,123,UG/M3,1 Hr,Valid
